pan ID	D39	D39V	EF3030	Hungary19A-6	TIGR4	670-6B	6A-10	70585	A026	A66	AP200	ASP0581	ATCC 49619	ATCC 700669	BM6001	BVJ1JL	CGSP14	G54	gamPNI0373	HU-OH	Hu15	Hu17	INV104	INV200	JJA	MDRSPN001	NCTC7465	NCTC7466	NU83127	OXC141	P1031	R6	SP49	SPN032672	SPN034156	SPN034183	SPN994038	SPN994039	SPNA45	ST556	Taiwan19F-14	TCH8431/19A	Xen35
PNEUPAN000023000				SPH_RS00255							SPAP_RS00270		EL263_RS00265		ODS73_RS00430						SPNHU15_RS00240	SPNHU17_RS00245																					
PNEUPAN000024000				SPH_RS00260							SPAP_RS00275		EL263_RS00270		ODS73_RS00435						SPNHU15_RS00245	SPNHU17_RS00250																					
PNEUPAN000025000				SPH_RS00265							SPAP_RS00280		EL263_RS00275		ODS73_RS00440						SPNHU15_RS00250	SPNHU17_RS00255																					
PNEUPAN000026000				SPH_RS00270							SPAP_RS00285		EL263_RS00280		ODS73_RS00445						SPNHU15_RS00255	SPNHU17_RS00260																					
PNEUPAN000027000	SPD_RS00590	SPV_RS00590		SPH_RS01040				SP70585_RS00860		A66_RS00585	SPAP_RS00785				ODS73_RS00950					EL271_RS00590	SPNHU15_RS08155	SPNHU17_RS00785			SPJ_RS00680			DQM66_RS00590				SPR_RS00565			SPN034156_RS06780				SPNA45_RS10725				
PNEUPAN000028000			EF3030_RS06890									EL334_RS05845			ODS73_RS05960		SPCG_RS07525							SPNINV200_RS06980																			
PNEUPAN000029000			EF3030_RS11765									EL334_RS05850			ODS73_RS05965		SPCG_RS07520							SPNINV200_RS06975																			
PNEUPAN000030000	SPD_RS12020	SPV_RS12045						SP70585_RS14300							ODS73_RS12100	JN057_RS11680			HMPREF1038_RS13550								AT689_RS13700	DQM66_RS11815			SPP_RS13870	SPR_RS11110											
PNEUPAN000031000	SPD_RS06200	SPV_RS10965				SP670_RS12355		SP70585_RS06815							ODS73_RS06805	JN057_RS06510	SPCG_RS13750		HMPREF1038_RS06440				INV104_RS13690	SPNINV200_RS13115		MDRSPN_RS11320		DQM66_RS06200			SPP_RS06650	SPR_RS05915											
PNEUPAN000032000	SPD_RS06205	SPV_RS06200						SP70585_RS06820							ODS73_RS06810	JN057_RS06515			HMPREF1038_RS06445								AT689_RS07395	DQM66_RS06205			SPP_RS06655	SPR_RS05920											
PNEUPAN000033000	SPD_RS06210	SPV_RS06205						SP70585_RS06825							ODS73_RS06815												AT689_RS07390	DQM66_RS06210				SPR_RS05925											
PNEUPAN000034000			EF3030_RS02400		SP_RS02485	SP670_RS02895	HKM25_RS02475		T308_RS02450			EL334_RS02615				JN057_RS02585								SPNINV200_RS02380		MDRSPN_RS02335	AT689_RS11130		EL277_RS02575	SPNOXC_RS02550	SPP_RS02600				SPN034156_RS08485	SPN034183_RS02555	SPN994038_RS02485	SPN994039_RS02475					CXP32_RS02540
PNEUPAN000035000						SP670_RS07095			T308_RS06250		SPAP_RS04560			SPN23F_RS04145				SPG_RS04115	HMPREF1038_RS04450	EL271_RS04125															SPN034156_RS10235	SPN034183_RS04325				MYY_RS06710		HMPREF0837_RS07660	
PNEUPAN000036000				SPH_RS01390	SP_RS05595				T308_RS00855			EL334_RS00440			ODS73_RS01300						SPNHU15_RS01180	SPNHU17_RS01110	INV104_RS05670			MDRSPN_RS00865							BMJ42_RS01540	SPN032672_RS00540						MYY_RS01335	SPT_RS01125	HMPREF0837_RS02390	CXP32_RS05630
PNEUPAN000037000												EL334_RS12015																															
PNEUPAN000038000												EL334_RS00450																															
PNEUPAN000039000												EL334_RS00455																															
PNEUPAN000040000								SP70585_RS13305				EL334_RS00465	EL263_RS05245																					SPN032672_RS12715									
PNEUPAN000041000							HKM25_RS00040																																				
PNEUPAN000042000						SP670_RS00045	HKM25_RS00055								ODS73_RS00065																								SPNA45_RS10415	MYY_RS00065	SPT_RS00095	HMPREF0837_RS01370	
PNEUPAN000043000							HKM25_RS01505																																				
PNEUPAN000044000							HKM25_RS01510																																				
PNEUPAN000045000							HKM25_RS01515																																				
PNEUPAN000046000							HKM25_RS01520																																				
PNEUPAN000047000							HKM25_RS01525																																				
PNEUPAN000048000							HKM25_RS01530																																				
PNEUPAN000049000							HKM25_RS01535																																				
PNEUPAN000050000			EF3030_RS01490		SP_RS12630		HKM25_RS01540	SP70585_RS01785			SPAP_RS01690			SPN23F_RS01485				SPG_RS01435						SPNINV200_RS01485	SPJ_RS01540						SPP_RS01725											HMPREF0837_RS02995	CXP32_RS01490
PNEUPAN000051000							HKM25_RS01545																																				
PNEUPAN000052000							HKM25_RS01550																																				
PNEUPAN000053000							HKM25_RS01555																																				
PNEUPAN000054000							HKM25_RS01560																																				
PNEUPAN000055000							HKM25_RS01565																																				
PNEUPAN000056000							HKM25_RS01570																																				
PNEUPAN000057000							HKM25_RS01575																																				
PNEUPAN000058000							HKM25_RS01580																																				
PNEUPAN000059000							HKM25_RS01585																																				
PNEUPAN000060000												EL334_RS00470																															
PNEUPAN000061000												EL334_RS00475																															
PNEUPAN000062000												EL334_RS00480																															
PNEUPAN000063000												EL334_RS00485																															
PNEUPAN000064000												EL334_RS11720																															
PNEUPAN000065000	SPD_RS11960	SPV_RS11995						SP70585_RS00870		A66_RS00595		EL334_RS00615													SPJ_RS00690			DQM66_RS11755		SPNOXC_RS00840		SPR_RS11035				SPN034183_RS00840	SPN994038_RS00775	SPN994039_RS00770					
PNEUPAN000066000	SPD_RS00610	SPV_RS00610						SP70585_RS00875		A66_RS00600		EL334_RS00620													SPJ_RS00695			DQM66_RS00610		SPNOXC_RS00845		SPR_RS00590				SPN034183_RS00845	SPN994038_RS00780	SPN994039_RS00775					
PNEUPAN000067000	SPD_RS00615	SPV_RS00615						SP70585_RS00880		A66_RS00605		EL334_RS00625													SPJ_RS00700			DQM66_RS00615		SPNOXC_RS00850		SPR_RS00595				SPN034183_RS00850	SPN994038_RS00785	SPN994039_RS00780					
PNEUPAN000068000	SPD_RS00620	SPV_RS00620			SP_RS00585	SP670_RS00950		SP70585_RS00885	T308_RS00490	A66_RS00610		EL334_RS00630				JN057_RS00840			HMPREF1038_RS00855							MDRSPN_RS00605	AT689_RS01845	DQM66_RS00620	EL277_RS00585	SPNOXC_RS00830	SPP_RS00845	SPR_RS00600				SPN034183_RS00825				MYY_RS00965	SPT_RS00755	HMPREF0837_RS02030	CXP32_RS00600
PNEUPAN000069000	SPD_RS11450	SPV_RS11475		SPH_RS06220	SP_RS13210	SP670_RS14050		SP70585_RS13740	T308_RS12985	A66_RS12350		EL334_RS12020														MDRSPN_RS11135	AT689_RS13260	DQM66_RS11235	EL277_RS12095	SPNOXC_RS12920		SPR_RS10555				SPN034183_RS12895			SPNA45_RS14280	MYY_RS13175	SPT_RS12870	HMPREF0837_RS12875	CXP32_RS12145
PNEUPAN000070000												EL334_RS01605																											SPNA45_RS09710				
PNEUPAN000071000												EL334_RS01615																															
PNEUPAN000072000												EL334_RS01620																															
PNEUPAN000073000				SPH_RS02040						A66_RS12090		EL334_RS11745	EL263_RS01735								SPNHU15_RS01810	SPNHU17_RS01740							EL277_RS01550														
PNEUPAN000074000				SPH_RS02045	SP_RS01455			SP70585_RS01790		A66_RS01500		EL334_RS01630	EL263_RS01740								SPNHU15_RS01815	SPNHU17_RS01745							EL277_RS01555														CXP32_RS01495
PNEUPAN000075000					SP_RS11655							EL334_RS01635				JN057_RS00100			HMPREF1038_RS11145								AT689_RS11415		EL277_RS01560		SPP_RS11430								SPNA45_RS11715				CXP32_RS01500
PNEUPAN000076000					SP_RS01710			SP70585_RS02045				EL334_RS01885																	EL277_RS01805														CXP32_RS01760
PNEUPAN000077000					SP_RS01715			SP70585_RS02050				EL334_RS01890																	EL277_RS01810														CXP32_RS01765
PNEUPAN000078000												EL334_RS01895																															
PNEUPAN000079000		SPV_RS02430	EF3030_RS11320		SP_RS02495	SP670_RS02890		SP70585_RS02775			SPAP_RS13530	EL334_RS02610		SPN23F_RS02350											SPJ_RS02390		AT689_RS11135		EL277_RS02580	SPNOXC_RS02545	SPP_RS02610		BMJ42_RS03075		SPN034156_RS08490	SPN034183_RS02560	SPN994038_RS02475	SPN994039_RS02480		MYY_RS02920			CXP32_RS02550
PNEUPAN000080000											SPAP_RS12895	EL334_RS04400																						SPN032672_RS12910									
PNEUPAN000081000			EF3030_RS04235	SPH_RS04815	SP_RS04390		HKM25_RS04190	SP70585_RS04590	T308_RS06275			EL334_RS04405	EL263_RS04395		ODS73_RS04625		SPCG_RS04360				SPNHU15_RS04385	SPNHU17_RS04325	INV104_RS04315	SPNINV200_RS04240	SPJ_RS04145	MDRSPN_RS05815			EL277_RS04470	SPNOXC_RS04310	SPP_RS04410		BMJ42_RS04780				SPN994038_RS04245	SPN994039_RS04245			SPT_RS06510		CXP32_RS04420
PNEUPAN000082000			EF3030_RS04230	SPH_RS04810	SP_RS04385		HKM25_RS04185	SP70585_RS04585	T308_RS06255		SPAP_RS04555	EL334_RS04390	EL263_RS04390	SPN23F_RS04140	ODS73_RS04620		SPCG_RS04355	SPG_RS04110	HMPREF1038_RS04445	EL271_RS04120	SPNHU15_RS04380	SPNHU17_RS04320	INV104_RS04310	SPNINV200_RS04235	SPJ_RS04140				EL277_RS04465	SPNOXC_RS04305	SPP_RS04405		BMJ42_RS04775		SPN034156_RS10230	SPN034183_RS04320	SPN994038_RS04240	SPN994039_RS04240					CXP32_RS04415
PNEUPAN000083000			EF3030_RS04225	SPH_RS04805	SP_RS04380		HKM25_RS04180	SP70585_RS04580	T308_RS06260		SPAP_RS04550	EL334_RS04385	EL263_RS04385	SPN23F_RS04135	ODS73_RS04615		SPCG_RS04350	SPG_RS04105	HMPREF1038_RS04440	EL271_RS04115	SPNHU15_RS04375	SPNHU17_RS04315	INV104_RS04305	SPNINV200_RS04230	SPJ_RS04135				EL277_RS04460	SPNOXC_RS04300	SPP_RS04400		BMJ42_RS04770		SPN034156_RS10225	SPN034183_RS04315	SPN994038_RS04235	SPN994039_RS04235					CXP32_RS04410
PNEUPAN000084000				SPH_RS13950	SP_RS04375		HKM25_RS04175	SP70585_RS04575	T308_RS13210	A66_RS12145		EL334_RS04380	EL263_RS04380								SPNHU15_RS10920	SPNHU17_RS10955	INV104_RS04300										BMJ42_RS04765	SPN032672_RS10565					SPNA45_RS14125				CXP32_RS04405
PNEUPAN000085000	SPD_RS02430	SPV_RS02435	EF3030_RS12160	SPH_RS02980	SP_RS02490		HKM25_RS02480				SPAP_RS02510	EL334_RS12115	EL263_RS02610		ODS73_RS02840	JN057_RS02580			HMPREF1038_RS02655				INV104_RS02490	SPNINV200_RS02385		MDRSPN_RS02330	AT689_RS00050	DQM66_RS02430	EL277_RS02585	SPNOXC_RS02540	SPP_RS02605	SPR_RS02290		SPN032672_RS08735			SPN994038_RS02480					HMPREF0837_RS03875	CXP32_RS02545
PNEUPAN000086000	SPD_RS02425				SP_RS02480		HKM25_RS02470					EL334_RS02620	EL263_RS02600	SPN23F_RS02360		JN057_RS02590	SPCG_RS02525		HMPREF1038_RS02645							MDRSPN_RS02340	AT689_RS00040	DQM66_RS02425				SPR_RS02285	BMJ42_RS03065		SPN034156_RS08480	SPN034183_RS02550		SPN994039_RS02470					CXP32_RS02535
PNEUPAN000087000																	SPCG_RS06875			EL271_RS05595						MDRSPN_RS09135																	
PNEUPAN000088000			EF3030_RS05235	SPH_RS10965	SP_RS08360	SP670_RS12660		SP70585_RS00100					EL263_RS00065	SPN23F_RS00070												MDRSPN_RS10765			EL277_RS08430				BMJ42_RS06855										CXP32_RS08440
PNEUPAN000089000	SPD_RS00065	SPV_RS00065	EF3030_RS00065	SPH_RS00070	SP_RS00070	SP670_RS00165	HKM25_RS00155	SP70585_RS00105	T308_RS11040	A66_RS00105	SPAP_RS13445	EL334_RS00065	EL263_RS00070	SPN23F_RS00075	ODS73_RS00235	JN057_RS00065	SPCG_RS00070	SPG_RS00070	HMPREF1038_RS00075	EL271_RS00065			INV104_RS00070	SPNINV200_RS00070	SPJ_RS00070	MDRSPN_RS00065	AT689_RS02600	DQM66_RS00065	EL277_RS00065	SPNOXC_RS00070	SPP_RS00070	SPR_RS00065	BMJ42_RS00065	SPN032672_RS04405	SPN034156_RS06045	SPN034183_RS00070	SPN994038_RS00070	SPN994039_RS00070	SPNA45_RS00070	MYY_RS00215	SPT_RS00250	HMPREF0837_RS01520	CXP32_RS00065
PNEUPAN000090000	SPD_RS09670	SPV_RS09665	EF3030_RS09815	SPH_RS00075	SP_RS10150	SP670_RS00170	HKM25_RS10125	SP70585_RS10395	T308_RS11045		SPAP_RS00075	EL334_RS00070	EL263_RS00075	SPN23F_RS10400	ODS73_RS00240	JN057_RS09825	SPCG_RS10395	SPG_RS00075	HMPREF1038_RS09830	EL271_RS09950		SPNHU17_RS00065	INV104_RS10075	SPNINV200_RS09805	SPJ_RS09990	MDRSPN_RS00070	AT689_RS03920	DQM66_RS09665	EL277_RS10345	SPNOXC_RS09730	SPP_RS10070	SPR_RS09205	BMJ42_RS00070	SPN032672_RS05765	SPN034156_RS04730	SPN034183_RS09750	SPN994038_RS09655	SPN994039_RS09660	SPNA45_RS01240	MYY_RS00220	SPT_RS00255	HMPREF0837_RS01525	CXP32_RS10285
PNEUPAN000091000	SPD_RS09665	SPV_RS09660	EF3030_RS09810		SP_RS10145		HKM25_RS10120	SP70585_RS10390	T308_RS09685		SPAP_RS10060		EL263_RS00080	SPN23F_RS10395		JN057_RS09820	SPCG_RS10390	SPG_RS09605	HMPREF1038_RS09825	EL271_RS09945			INV104_RS10070	SPNINV200_RS09800	SPJ_RS09985	MDRSPN_RS09505	AT689_RS02590	DQM66_RS09660	EL277_RS10335	SPNOXC_RS09725	SPP_RS10065	SPR_RS09200		SPN032672_RS04395	SPN034156_RS04725	SPN034183_RS09745	SPN994038_RS09650	SPN994039_RS09655		MYY_RS10105	SPT_RS09905		CXP32_RS10275
PNEUPAN000092000	SPD_RS09060	SPV_RS09055	EF3030_RS09175		SP_RS09540		HKM25_RS09565	SP70585_RS09835					EL263_RS00085			JN057_RS09275	SPCG_RS09755		HMPREF1038_RS09275	EL271_RS09325			INV104_RS09505	SPNINV200_RS09170	SPJ_RS09035		AT689_RS02585	DQM66_RS09055	EL277_RS09725	SPNOXC_RS09160	SPP_RS09500	SPR_RS08635		SPN032672_RS04390	SPN034156_RS04135	SPN034183_RS09180	SPN994038_RS09085	SPN994039_RS09090					CXP32_RS09625
PNEUPAN000093000				SPH_RS00090		SP670_RS00185		SP70585_RS00125			SPAP_RS10050	EL334_RS00085	EL263_RS00090					SPG_RS09595				SPNHU17_RS00080					AT689_RS03935							SPN032672_RS05780					SPNA45_RS01255				
PNEUPAN000094000													EL263_RS00160																														
PNEUPAN000095000				SPH_RS00275							SPAP_RS00290		EL263_RS00285		ODS73_RS00450						SPNHU15_RS00260	SPNHU17_RS00265																					
PNEUPAN000096000				SPH_RS00280							SPAP_RS00295		EL263_RS00295		ODS73_RS00455						SPNHU15_RS00265	SPNHU17_RS00270																					
PNEUPAN000097000				SPH_RS00285							SPAP_RS00300		EL263_RS00300		ODS73_RS00460	JN057_RS00355			HMPREF1038_RS00355		SPNHU15_RS00270	SPNHU17_RS00275					AT689_RS02320			SPNOXC_RS00320	SPP_RS00350		BMJ42_RS00340		SPN034156_RS06295	SPN034183_RS00315	SPN994038_RS00320	SPN994039_RS00315	SPNA45_RS00325				
PNEUPAN000098000													EL263_RS00305																														
PNEUPAN000099000			EF3030_RS01715	SPH_RS02250					T308_RS01770				EL263_RS01940		ODS73_RS02215			SPG_RS01635			SPNHU15_RS02015	SPNHU17_RS01945				MDRSPN_RS01725							BMJ42_RS02435							MYY_RS02240	SPT_RS02030	HMPREF0837_RS03195	
PNEUPAN000100000			EF3030_RS01720	SPH_RS02255		SP670_RS02145	HKM25_RS01855		T308_RS01775				EL263_RS01945		ODS73_RS02220			SPG_RS01640			SPNHU15_RS02020	SPNHU17_RS01950				MDRSPN_RS01730							BMJ42_RS02440							MYY_RS02245	SPT_RS02035	HMPREF0837_RS03200	
PNEUPAN000101000			EF3030_RS01725	SPH_RS02260	SP_RS01745				T308_RS01780			EL334_RS01930	EL263_RS01950		ODS73_RS02225			SPG_RS01645			SPNHU15_RS02025	SPNHU17_RS01955				MDRSPN_RS01735			EL277_RS01840				BMJ42_RS02445							MYY_RS02250	SPT_RS02040	HMPREF0837_RS03205	CXP32_RS01795
PNEUPAN000102000	SPD_RS01780	SPV_RS01780	EF3030_RS01730	SPH_RS02265		SP670_RS02150	HKM25_RS01860		T308_RS01785				EL263_RS01955	SPN23F_RS01715	ODS73_RS02230	JN057_RS01950		SPG_RS01650	HMPREF1038_RS02030		SPNHU15_RS02030	SPNHU17_RS01960	INV104_RS01810			MDRSPN_RS01740	AT689_RS00680	DQM66_RS01780			SPP_RS01980	SPR_RS01660	BMJ42_RS02450	SPN032672_RS08110						MYY_RS02255	SPT_RS02045	HMPREF0837_RS03210	
PNEUPAN000103000	SPD_RS01785	SPV_RS01785	EF3030_RS01735	SPH_RS02270		SP670_RS02155	HKM25_RS01865		T308_RS01790				EL263_RS01960	SPN23F_RS01720	ODS73_RS02235	JN057_RS01955		SPG_RS01655	HMPREF1038_RS02035		SPNHU15_RS02035	SPNHU17_RS01965	INV104_RS01815			MDRSPN_RS01745	AT689_RS00675	DQM66_RS01785			SPP_RS01985	SPR_RS01665	BMJ42_RS02455	SPN032672_RS08115						MYY_RS02260	SPT_RS02050	HMPREF0837_RS03215	
PNEUPAN000104000	SPD_RS01790	SPV_RS01790	EF3030_RS01740	SPH_RS02275		SP670_RS02160	HKM25_RS01870		T308_RS01795				EL263_RS01965	SPN23F_RS01725	ODS73_RS02240	JN057_RS01960		SPG_RS01660	HMPREF1038_RS02040		SPNHU15_RS02040	SPNHU17_RS01970	INV104_RS01820			MDRSPN_RS01750	AT689_RS00670	DQM66_RS01790			SPP_RS01990	SPR_RS01670	BMJ42_RS02460	SPN032672_RS08120						MYY_RS02265	SPT_RS02055	HMPREF0837_RS03220	
PNEUPAN000105000													EL263_RS12105																														
PNEUPAN000106000				SPH_RS03120	SP_RS02640			SP70585_RS02920	T308_RS02595				EL263_RS02710		ODS73_RS02975						SPNHU15_RS02825	SPNHU17_RS02750	INV104_RS02620			MDRSPN_RS07865							BMJ42_RS03210	SPN032672_RS08875						MYY_RS03070	SPT_RS02850	HMPREF0837_RS04020	CXP32_RS02705
PNEUPAN000107000			EF3030_RS11695							A66_RS12510			EL263_RS11790											SPNINV200_RS13160															SPNA45_RS14150				
PNEUPAN000108000	SPD_RS05020	SPV_RS05320	EF3030_RS11700		SP_RS05205			SP70585_RS05615		A66_RS12515			EL263_RS11795	SPN23F_RS04955		JN057_RS05370	SPCG_RS05350		HMPREF1038_RS05575	EL271_RS04930				SPNINV200_RS13165	SPJ_RS04950		AT689_RS08575	DQM66_RS05330	EL277_RS05300	SPNOXC_RS05120	SPP_RS05225	SPR_RS04770			SPN034156_RS00175	SPN034183_RS05140	SPN994038_RS05045	SPN994039_RS05050	SPNA45_RS14155				CXP32_RS05260
PNEUPAN000109000	SPD_RS05030		EF3030_RS05100		SP_RS05215		HKM25_RS05000	SP70585_RS05625		A66_RS04800			EL263_RS05215	SPN23F_RS04965		JN057_RS05375	SPCG_RS05360			EL271_RS04945				SPNINV200_RS05190	SPJ_RS04960				EL277_RS05310	SPNOXC_RS05125	SPP_RS05230	SPR_RS04775			SPN034156_RS00180	SPN034183_RS05145	SPN994038_RS05050	SPN994039_RS05055	SPNA45_RS07600				
PNEUPAN000110000													EL263_RS05255																														
PNEUPAN000111000			EF3030_RS06065					SP70585_RS05435					EL263_RS05260				SPCG_RS06355							SPNINV200_RS06170																			
PNEUPAN000112000			EF3030_RS06060					SP70585_RS05440					EL263_RS05265				SPCG_RS06350							SPNINV200_RS06165																			
PNEUPAN000113000			EF3030_RS06055					SP70585_RS05445					EL263_RS05270				SPCG_RS06345							SPNINV200_RS06160																			
PNEUPAN000114000			EF3030_RS06050					SP70585_RS05465					EL263_RS05275				SPCG_RS06340			EL271_RS05045				SPNINV200_RS06155						SPNOXC_RS05220					SPN034156_RS00275	SPN034183_RS05240	SPN994038_RS05145	SPN994039_RS05150					
PNEUPAN000115000			EF3030_RS06045					SP70585_RS05470					EL263_RS05280				SPCG_RS06335			EL271_RS05050				SPNINV200_RS06150						SPNOXC_RS05225					SPN034156_RS00280	SPN034183_RS05245	SPN994038_RS05150	SPN994039_RS05155					
PNEUPAN000116000			EF3030_RS06040					SP70585_RS05475					EL263_RS05285				SPCG_RS06330			EL271_RS05055				SPNINV200_RS06145						SPNOXC_RS05230					SPN034156_RS00285	SPN034183_RS05250	SPN994038_RS05155	SPN994039_RS05160					
PNEUPAN000117000			EF3030_RS06035					SP70585_RS12445					EL263_RS05290				SPCG_RS12430							SPNINV200_RS11840																			
PNEUPAN000118000			EF3030_RS06030					SP70585_RS05495					EL263_RS05295				SPCG_RS06310							SPNINV200_RS06125																			
PNEUPAN000119000			EF3030_RS11395					SP70585_RS13605					EL263_RS11460				SPCG_RS13380			EL271_RS11435				SPNINV200_RS12745						SPNOXC_RS12485						SPN034183_RS12470	SPN994038_RS12380	SPN994039_RS12385					
PNEUPAN000120000			EF3030_RS06025				HKM25_RS05095	SP70585_RS12455					EL263_RS05300				SPCG_RS06305			EL271_RS05085				SPNINV200_RS06120						SPNOXC_RS11600					SPN034156_RS10910	SPN034183_RS11615	SPN994038_RS11510	SPN994039_RS11510					
PNEUPAN000121000													EL263_RS11595																														
PNEUPAN000122000													EL263_RS10205																														
PNEUPAN000123000													EL263_RS10210																										SPNA45_RS09695				
PNEUPAN000124000				SPH_RS10915						A66_RS09345		EL334_RS10670	EL263_RS10215								SPNHU15_RS09910	SPNHU17_RS09900											BMJ42_RS11170						SPNA45_RS09700				
PNEUPAN000125000	SPD_RS06215	SPV_RS06210						SP70585_RS06830							ODS73_RS06820	JN057_RS06525			HMPREF1038_RS06455								AT689_RS07385	DQM66_RS06215			SPP_RS06665	SPR_RS05930											
PNEUPAN000126000	SPD_RS06220	SPV_RS06215						SP70585_RS06835							ODS73_RS06825	JN057_RS06530			HMPREF1038_RS06460								AT689_RS07380	DQM66_RS06220			SPP_RS06670	SPR_RS05935											
PNEUPAN000127000	SPD_RS06225	SPV_RS06220						SP70585_RS06840							ODS73_RS06830	JN057_RS06535			HMPREF1038_RS06465								AT689_RS07375	DQM66_RS06225			SPP_RS06675	SPR_RS05940											
PNEUPAN000128000	SPD_RS06230	SPV_RS06225						SP70585_RS12595							ODS73_RS06835	JN057_RS06540			HMPREF1038_RS11810								AT689_RS11855	DQM66_RS06230			SPP_RS12110	SPR_RS05945											
PNEUPAN000129000	SPD_RS06235	SPV_RS06230													ODS73_RS06840	JN057_RS06545			HMPREF1038_RS06480								AT689_RS07365	DQM66_RS06235			SPP_RS06690	SPR_RS05950											
PNEUPAN000130000	SPD_RS06240	SPV_RS06235													ODS73_RS06845	JN057_RS06550			HMPREF1038_RS06485								AT689_RS07360	DQM66_RS06240			SPP_RS06695	SPR_RS05955											
PNEUPAN000131000	SPD_RS06245	SPV_RS06240													ODS73_RS06850	JN057_RS06555			HMPREF1038_RS06490								AT689_RS07355	DQM66_RS06245			SPP_RS06700	SPR_RS05960											
PNEUPAN000132000	SPD_RS06250	SPV_RS06245													ODS73_RS06855	JN057_RS06560			HMPREF1038_RS06495								AT689_RS07350	DQM66_RS06250			SPP_RS06705	SPR_RS05965											
PNEUPAN000133000	SPD_RS06255	SPV_RS06250													ODS73_RS06860	JN057_RS06565			HMPREF1038_RS06500								AT689_RS07345	DQM66_RS06255			SPP_RS06710	SPR_RS05970											
PNEUPAN000134000	SPD_RS06260	SPV_RS06255						SP70585_RS09975		A66_RS12030					ODS73_RS06865	JN057_RS06570			HMPREF1038_RS06505								AT689_RS07340	DQM66_RS06260		SPNOXC_RS09315	SPP_RS06715	SPR_RS05975				SPN034183_RS09335		SPN994039_RS09245					
